naics,name,baseline_tradable,corrected_tradable
113110,Timber Tract Operations,tradable,tradable
113210,Forest Nurseries and Gathering of Forest Products,tradable,tradable
113310,Logging,tradable,tradable
114111,Finfish Fishing,tradable,tradable
114112,Shellfish Fishing,tradable,tradable
114119,Other Marine Fishing,tradable,tradable
114210,Hunting and Trapping,tradable,tradable
115111,Cotton Ginning,tradable,tradable
115112,"Soil Preparation, Planting, and Cultivating",non-tradable,non-tradable
115113,"Crop Harvesting, Primarily by Machine",tradable,tradable
115114,Postharvest Crop Activities (except Cotton Ginning),tradable,tradable
115115,Farm Labor Contractors and Crew Leaders,tradable,tradable
115116,Farm Management Services,tradable,tradable
115210,Support Activities for Animal Production,non-tradable,non-tradable
115310,Support Activities for Forestry,tradable,tradable
211111,Crude Petroleum and Natural Gas Extraction,tradable,tradable
211112,Natural Gas Liquid Extraction,tradable,tradable
212111,Bituminous Coal and Lignite Surface Mining,tradable,tradable
212112,Bituminous Coal Underground Mining,tradable,tradable
212113,Anthracite Mining,tradable,tradable
212210,Iron Ore Mining,tradable,tradable
212221,Gold Ore Mining,tradable,tradable
212222,Silver Ore Mining,tradable,tradable
212231,Lead Ore and Zinc Ore Mining,tradable,tradable
212234,Copper Ore and Nickel Ore Mining,tradable,tradable
212291,Uranium-Radium-Vanadium Ore Mining,tradable,tradable
212299,All Other Metal Ore Mining,tradable,tradable
212311,Dimension Stone Mining and Quarrying,tradable,tradable
212312,Crushed and Broken Limestone Mining and Quarrying,tradable,tradable
212313,Crushed and Broken Granite Mining and Quarrying,tradable,tradable
212319,Other Crushed and Broken Stone Mining and Quarrying,tradable,tradable
212321,Construction Sand and Gravel Mining,non-tradable,non-tradable
212322,Industrial Sand Mining,tradable,tradable
212324,Kaolin and Ball Clay Mining,tradable,tradable
212325,Clay and Ceramic and Refractory Minerals Mining,tradable,tradable
212391,"Potash, Soda, and Borate Mineral Mining",tradable,tradable
212392,Phosphate Rock Mining,tradable,tradable
